PSTART 13-05-2021 14:18:51 62 PSTOP;44
PSTART 13-05-2021 14:18:51 63 PSTOP;42
PSTART 13-05-2021 14:18:51 64 PSTOP;39
PSTART 13-05-2021 14:18:51 65 PSTOP;41
PSTART 13-05-2021 14:18:51 66 PSTOP;43
PSTART 13-05-2021 14:18:51 67 PSTOP;36
PSTART 13-05-2021 14:18:51 68 PSTOP;43
PSTART 13-05-2021 14:18:51 69 PSTOP;45
PSTART 13-05-2021 14:18:51 70 PSTOP;36
PSTART 13-05-2021 14:18:51 71 PSTOP;46
PSTART 13-05-2021 14:18:51 72 PSTOP;48
PSTART 13-05-2021 14:18:51 73 PSTOP;44
PSTART 13-05-2021 14:18:51 74 PSTOP;35
PSTART 13-05-2021 14:18:51 75 PSTOP;43
PSTART 13-05-2021 14:18:51 76 PSTOP;41
PSTART 13-05-2021 14:18:51 77 PSTOP;35
PSTART 13-05-2021 14:18:51 78 PSTOP;44
PSTART 13-05-2021 14:18:51 79 PSTOP;44
PSTART 13-05-2021 14:18:52 80 PSTOP;35
PSTART 13-05-2021 14:18:52 81 PSTOP;46
PSTART 13-05-2021 14:18:52 82 PSTOP;43
PSTART 13-05-2021 14:18:52 83 PSTOP;36
PSTART 13-05-2021 14:18:52 84 PSTOP;47
PSTART 13-05-2021 14:18:52 85 PSTOP;45
PSTART 13-05-2021 14:18:52 86 PSTOP;36
PSTART 13-05-2021 14:18:52 87 PSTOP;48
PSTART 13-05-2021 14:18:52 88 PSTOP;47
PSTART 13-05-2021 14:18:52 89 PSTOP;37
PSTART 13-05-2021 14:18:52 90 PSTOP;39
PSTART 13-05-2021 14:18:52 91 PSTOP;45
PSTART 13-05-2021 14:18:52 92 PSTOP;46
PSTART 13-05-2021 14:18:52 93 PSTOP;39
PSTART 13-05-2021 14:18:52 94 PSTOP;47
PSTART 13-05-2021 14:18:52 95 PSTOP;46
PSTART 13-05-2021 14:18:52 96 PSTOP;38
PSTART 13-05-2021 14:18:52 97 PSTOP;45
PSTART 13-05-2021 14:18:52 98 PSTOP;47
PSTART 13-05-2021 14:18:52 99 PSTOP;35
PSTART 13-05-2021 14:18:52 00 PSTOP;43
PSTART 13-05-2021 14:18:52 01 PSTOP;43
PSTART 13-05-2021 14:18:52 02 PSTOP;35
PSTART 13-05-2021 14:18:52 03 PSTOP;42
PSTART 13-05-2021 14:18:53 04 PSTOP;43
PSTART 13-05-2021 14:18:53 05 PSTOP;35
PSTART 13-05-2021 14:18:53 06 PSTOP;43
PSTART 13-05-2021 14:18:53 07 PSTOP;43
PSTART 13-05-2021 14:18:53 08 PSTOP;42
PSTART 13-05-2021 14:18:53 09 PSTOP;36
PSTART 13-05-2021 14:18:53 10 PSTOP;43
PSTART 13-05-2021 14:18:53 11 PSTOP;40
PSTART 13-05-2021 14:18:53 12 PSTOP;36
PSTART 13-05-2021 14:18:53 13 PSTOP;43
PSTART 13-05-2021 14:18:53 14 PSTOP;42
PSTART 13-05-2021 14:18:53 15 PSTOP;34
PSTART 13-05-2021 14:18:53 16 PSTOP;43
PSTART 13-05-2021 14:18:53 17 PSTOP;42
PSTART 13-05-2021 14:18:53 18 PSTOP;35
PSTART 13-05-2021 14:18:53 19 PSTOP;45
PSTART 13-05-2021 14:18:53 20 PSTOP;45
PSTART 13-05-2021 14:18:53 21 PSTOP;38
PSTART 13-05-2021 14:18:53 22 PSTOP;43
PSTART 13-05-2021 14:18:53 23 PSTOP;43
PSTART 13-05-2021 14:18:53 24 PSTOP;42
PSTART 13-05-2021 14:18:53 25 PSTOP;34
PSTART 13-05-2021 14:18:53 26 PSTOP;45
PSTART 13-05-2021 14:18:53 27 PSTOP;42
PSTART 13-05-2021 14:18:54 28 PSTOP;36
PSTART 13-05-2021 14:18:54 29 PSTOP;41
PSTART 13-05-2021 14:18:54 30 PSTOP;47
PSTART 13-05-2021 14:18:54 31 PSTOP;35
PSTART 13-05-2021 14:18:54 32 PSTOP;42
PSTART 13-05-2021 14:18:54 33 PSTOP;39
PSTART 13-05-2021 14:18:54 34 PSTOP;37
PSTART 13-05-2021 14:18:54 35 PSTOP;44
PSTART 13-05-2021 14:18:54 36 PSTOP;41
PSTART 13-05-2021 14:18:54 37 PSTOP;36
PSTART 13-05-2021 14:18:54 38 PSTOP;45
PSTART 13-05-2021 14:18:54 39 PSTOP;42
PSTART 13-05-2021 14:18:54 40 PSTOP;37
PSTART 13-05-2021 14:18:54 41 PSTOP;36
PSTART 13-05-2021 14:18:54 42 PSTOP;43
PSTART 13-05-2021 14:18:54 43 PSTOP;43
PSTART 13-05-2021 14:18:54 44 PSTOP;35
PSTART 13-05-2021 14:18:54 45 PSTOP;43
PSTART 13-05-2021 14:18:54 46 PSTOP;41
PSTART 13-05-2021 14:18:54 47 PSTOP;35
PSTART 13-05-2021 14:18:54 48 PSTOP;42
PSTART 13-05-2021 14:18:54 49 PSTOP;45
PSTART 13-05-2021 14:18:54 50 PSTOP;36
PSTART 13-05-2021 14:18:54 51 PSTOP;41
PSTART 13-05-2021 14:18:54 52 PSTOP;42
PSTART 13-05-2021 14:18:55 53 PSTOP;35
PSTART 13-05-2021 14:18:55 54 PSTOP;42
PSTART 13-05-2021 14:18:55 55 PSTOP;41
PSTART 13-05-2021 14:18:55 56 PSTOP;36
PSTART 13-05-2021 14:18:55 57 PSTOP;41
PSTART 13-05-2021 14:18:55 58 PSTOP;43
PSTART 13-05-2021 14:18:55 59 PSTOP;44
PSTART 13-05-2021 14:18:55 60 PSTOP;36
PSTART 13-05-2021 14:18:55 61 PSTOP;42
PSTART 13-05-2021 14:18:55 62 PSTOP;43
PSTART 13-05-2021 14:18:55 63 PSTOP;37
PSTART 13-05-2021 14:18:55 64 PSTOP;43
PSTART 13-05-2021 14:18:55 65 PSTOP;41
PSTART 13-05-2021 14:18:55 66 PSTOP;35
PSTART 13-05-2021 14:18:55 67 PSTOP;41
PSTART 13-05-2021 14:18:55 68 PSTOP;43
PSTART 13-05-2021 14:18:55 69 PSTOP;37
PSTART 13-05-2021 14:18:55 70 PSTOP;40
PSTART 13-05-2021 14:18:55 71 PSTOP;41
PSTART 13-05-2021 14:18:55 72 PSTOP;36
PSTART 13-05-2021 14:18:55 73 PSTOP;43
PSTART 13-05-2021 14:18:55 74 PSTOP;41
PSTART 13-05-2021 14:18:55 75 PSTOP;43
PSTART 13-05-2021 14:18:55 76 PSTOP;36
PSTART 13-05-2021 14:18:55 77 PSTOP;42
PSTART 13-05-2021 14:18:56 78 PSTOP;40
PSTART 13-05-2021 14:18:56 79 PSTOP;37
PSTART 13-05-2021 14:18:56 80 PSTOP;41
PSTART 13-05-2021 14:18:56 81 PSTOP;41
PSTART 13-05-2021 14:18:56 82 PSTOP;35
PSTART 13-05-2021 14:18:56 83 PSTOP;41
PSTART 13-05-2021 14:18:56 84 PSTOP;42
PSTART 13-05-2021 14:18:56 85 PSTOP;38
PSTART 13-05-2021 14:18:56 86 PSTOP;41
PSTART 13-05-2021 14:18:56 87 PSTOP;41
PSTART 13-05-2021 14:18:56 88 PSTOP;35
PSTART 13-05-2021 14:18:56 89 PSTOP;44
PSTART 13-05-2021 14:18:56 90 PSTOP;46
PSTART 13-05-2021 14:18:56 91 PSTOP;37
PSTART 13-05-2021 14:18:56 92 PSTOP;37
PSTART 13-05-2021 14:18:56 93 PSTOP;45
